ix,nuclear,pv,wind,biomass,hydro,gas,pumped,battery,p2g,import,shortage
109,2166.8849999999998,6752.7148637554665,1916.7647566371652,960.2837956453125,1072.352,0.0,399.29462396205554,0.0,0.0,0.0,0.0
110,2166.8849999999998,3648.0183746725,1405.6274882005926,3611.4519999999998,1072.352,1334.8480171269075,0.0,0.0,0.0,0.0,0.0
111,2166.8849999999998,964.6735519650646,1226.7294442477848,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,917.1153637871521,0.0
112,2166.8849999999998,121.9702192139728,1098.9451271386415,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,349.97261364738915
113,2166.8849999999998,0.0,1124.501990560474,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,578.2469294395269
114,2166.8849999999998,0.0,1175.6157174041296,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,588.7824825958724
115,2166.8849999999998,0.0,1661.1961224188788,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1978.191037581124,0.0
116,2166.8849999999998,0.0,1635.639258997047,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1753.7258210029559,0.0
117,2166.8849999999998,0.0,1635.639258997047,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1164.6327010029545,0.0
118,2166.8849999999998,0.0,1354.513761356928,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1214.5733986430732,0.0
119,2166.8849999999998,0.0,1277.8431710914492,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,739.8254289085526,0.0
120,2166.8849999999998,0.0,894.4902197640109,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,607.7219002359907,0.0
121,2166.8849999999998,0.0,741.1490392330384,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1036.7723607669632,0.0
122,2166.8849999999998,0.0,741.1490392330384,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,913.4738007669621,0.0
123,2166.8849999999998,0.0,817.819629498525,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,665.5552105014758,0.0
124,2166.8849999999998,0.0,766.7059026548668,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1002.6530973451336,0.0
125,2166.8849999999998,0.0,945.6039466076664,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1803.2936133923358,0.0
126,2166.8849999999998,0.0,1150.0588539822973,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,1460.3044660177038
127,2166.8849999999998,99.7938157205232,996.7176734513307,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,2520.7900708281486
128,2166.8849999999998,432.4398681222718,1073.3882637168183,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,2390.607668160912
129,2166.8849999999998,1851.7296917030576,971.1608100294986,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,1301.305138267442
130,2166.8849999999998,3526.048155458523,996.7176734513307,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1498.6810110901479,0.0
131,2166.8849999999998,5455.395259388657,868.9333563421789,3611.4519999999998,1072.352,3103.8172642691643,0.0,0.0,0.0,0.0,0.0
132,2166.8849999999998,6031.981750218332,792.2627660766964,3611.4519999999998,1072.352,2692.950323704972,0.0,0.0,0.0,0.0,0.0
133,2166.8849999999998,5056.219996506559,664.4784489675515,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,468.57143452588934,0.0
134,2166.8849999999998,3049.2554803493426,664.4784489675515,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,26.86619068310756
135,2166.8849999999998,964.6735519650646,613.3647221238933,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,2390.3216859110453
136,2166.8849999999998,121.9702192139728,741.1490392330384,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,3324.4381415529915
137,2166.8849999999998,0.0,1047.8314002949865,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,3105.476399705016
138,2166.8849999999998,0.0,1175.6157174041296,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,2618.071282595871
139,2166.8849999999998,0.0,1328.9568979351047,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,2403.080822064896
140,2166.8849999999998,0.0,1303.4000345132729,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,2003.9426454867298
141,2166.8849999999998,0.0,1584.5255321533912,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,2000.0,917.951547846611
142,2166.8849999999998,0.0,2146.776527433628,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,1615.9091925663724,0.0
143,2166.8849999999998,0.0,2504.5726153392343,3611.4519999999998,1072.352,3538.56,0.0,0.0,0.0,448.11006466076833,0.0
