datetime,year,month,day,hour,solar_util,wind_util,load
2016-01-06T12:00:00Z,2016,1,6,13,0.04630746225459457,0.01771793054571226,9875
2016-01-06T13:00:00Z,2016,1,6,14,0.02845979451063624,0.01771793054571226,9807
2016-01-06T14:00:00Z,2016,1,6,15,0.0096473879697072,0.02126151665485471,9836
2016-01-06T15:00:00Z,2016,1,6,16,0.00144710819545608,0.01417434443656981,9936
2016-01-06T16:00:00Z,2016,1,6,17,0,0.0070871722182849,9984
2016-01-06T17:00:00Z,2016,1,6,18,0,0.00354358610914245,9747
2016-01-06T18:00:00Z,2016,1,6,19,0,0.01063075832742735,9618
2016-01-06T19:00:00Z,2016,1,6,20,0,0.01063075832742735,9314
2016-01-06T20:00:00Z,2016,1,6,21,0,0.01417434443656981,8810
2016-01-06T21:00:00Z,2016,1,6,22,0,0.01417434443656981,8308
2016-01-06T22:00:00Z,2016,1,6,23,0,0.0070871722182849,7837
2016-01-06T23:00:00Z,2016,1,7,0,0,0.00354358610914245,7538
2016-01-07T00:00:00Z,2016,1,7,1,0,0.0070871722182849,7598
2016-01-07T01:00:00Z,2016,1,7,2,0,0.0070871722182849,7512
2016-01-07T02:00:00Z,2016,1,7,3,0,0.01063075832742735,7414
2016-01-07T03:00:00Z,2016,1,7,4,0,0.01417434443656981,7471
2016-01-07T04:00:00Z,2016,1,7,5,0,0.01417434443656981,7974
2016-01-07T05:00:00Z,2016,1,7,6,0,0.01417434443656981,9013
2016-01-07T06:00:00Z,2016,1,7,7,9.647387969707202e-4,0.01417434443656981,9466
2016-01-07T07:00:00Z,2016,1,7,8,0.0024118469924268,0.01063075832742735,9545
2016-01-07T08:00:00Z,2016,1,7,9,0.01350634315759008,0.0070871722182849,9665
2016-01-07T09:00:00Z,2016,1,7,10,0.02990690270609232,0.01063075832742735,9628
2016-01-07T10:00:00Z,2016,1,7,11,0.04775457045005065,0.02126151665485471,9604
2016-01-07T11:00:00Z,2016,1,7,12,0.05981380541218465,0.03543586109142452,9755
2016-01-07T12:00:00Z,2016,1,7,13,0.06077854420915537,0.03543586109142452,9688
2016-01-07T13:00:00Z,2016,1,7,14,0.036177704886402,0.04606661941885188,9648
2016-01-07T14:00:00Z,2016,1,7,15,0.00675317157879504,0.0744153082919915,9719
2016-01-07T15:00:00Z,2016,1,7,16,9.647387969707202e-4,0.08504606661941885,9827
2016-01-07T16:00:00Z,2016,1,7,17,0,0.08504606661941885,9811
2016-01-07T17:00:00Z,2016,1,7,18,0,0.0956768249468462,9590
2016-01-07T18:00:00Z,2016,1,7,19,0,0.07795889440113395,9464
2016-01-07T19:00:00Z,2016,1,7,20,0,0.0956768249468462,9142
2016-01-07T20:00:00Z,2016,1,7,21,0,0.10985116938341602,8657
2016-01-07T21:00:00Z,2016,1,7,22,0,0.07795889440113395,8178
2016-01-07T22:00:00Z,2016,1,7,23,0,0.0956768249468462,7722
2016-01-07T23:00:00Z,2016,1,8,0,0,0.14174344436569808,7477
2016-01-08T00:00:00Z,2016,1,8,1,0,0.2515946137491141,7565
2016-01-08T01:00:00Z,2016,1,8,2,0,0.31537916371367825,7419
2016-01-08T02:00:00Z,2016,1,8,3,0,0.3508150248051028,7330
2016-01-08T03:00:00Z,2016,1,8,4,0,0.3437278525868179,7402
2016-01-08T04:00:00Z,2016,1,8,5,0,0.3649893692416726,7871
2016-01-08T05:00:00Z,2016,1,8,6,0,0.3401842664776754,8909
2016-01-08T06:00:00Z,2016,1,8,7,9.647387969707202e-4,0.38979447200566975,9333
2016-01-08T07:00:00Z,2016,1,8,8,0.01109449616516328,0.3862508858965273,9372
2016-01-08T08:00:00Z,2016,1,8,9,0.07717910375765762,0.36853295535081504,9429
2016-01-08T09:00:00Z,2016,1,8,10,0.19680671458202692,0.3756201275691,9379
2016-01-08T10:00:00Z,2016,1,8,11,0.3347643625488399,0.34727143869596033,9281
2016-01-08T11:00:00Z,2016,1,8,12,0.3969900149534514,0.2905740609496811,9348
2016-01-08T12:00:00Z,2016,1,8,13,0.372389175630698,0.3118355776045358,9244
2016-01-08T13:00:00Z,2016,1,8,14,0.22526650909266316,0.258681785967399,9085
2016-01-08T14:00:00Z,2016,1,8,15,0.05691958902127249,0.23387668320340185,9084
2016-01-08T15:00:00Z,2016,1,8,16,0.00192947759394144,0.3189227498228207,9216
2016-01-08T16:00:00Z,2016,1,8,17,0,0.4004252303330971,9385
2016-01-08T17:00:00Z,2016,1,8,18,0,0.4252303330970943,9158
2016-01-08T18:00:00Z,2016,1,8,19,0,0.3330970942593905,9030
2016-01-08T19:00:00Z,2016,1,8,20,0,0.27285613040396883,8721
2016-01-08T20:00:00Z,2016,1,8,21,0,0.1559177888022679,8242
2016-01-08T21:00:00Z,2016,1,8,22,0,0.09922041105598868,7763
2016-01-08T22:00:00Z,2016,1,8,23,0,0.08858965272856131,7376
2016-01-08T23:00:00Z,2016,1,9,0,0,0.0744153082919915,6790
2016-01-09T00:00:00Z,2016,1,9,1,0,0.07795889440113395,6667
2016-01-09T01:00:00Z,2016,1,9,2,0,0.03543586109142452,6749
2016-01-09T02:00:00Z,2016,1,9,3,0,0.02834868887313962,6703
2016-01-09T03:00:00Z,2016,1,9,4,0,0.03543586109142452,6720
2016-01-09T04:00:00Z,2016,1,9,5,0,0.0673281360737066,6799
2016-01-09T05:00:00Z,2016,1,9,6,0,0.08858965272856131,7062
2016-01-09T06:00:00Z,2016,1,9,7,9.647387969707202e-4,0.11693834160170093,7285
2016-01-09T07:00:00Z,2016,1,9,8,0.01061212676667792,0.13819985825655565,7504
2016-01-09T08:00:00Z,2016,1,9,9,0.05064878684096281,0.13111268603827073,7966
2016-01-09T09:00:00Z,2016,1,9,10,0.10949785345617674,0.0956768249468462,8218
2016-01-09T10:00:00Z,2016,1,9,11,0.1283102599971058,0.07087172218284904,8343
2016-01-09T11:00:00Z,2016,1,9,12,0.11528628623800108,0.05315379163713679,8332
2016-01-09T12:00:00Z,2016,1,9,13,0.0945444021031306,0.03189227498228207,8299
2016-01-09T13:00:00Z,2016,1,9,14,0.0434132458636824,0.03543586109142452,8196
2016-01-09T14:00:00Z,2016,1,9,15,0.01254160436061936,0.03543586109142452,8184
2016-01-09T15:00:00Z,2016,1,9,16,0.00144710819545608,0.04252303330970942,8333
2016-01-09T16:00:00Z,2016,1,9,17,0,0.04606661941885188,8218
2016-01-09T17:00:00Z,2016,1,9,18,0,0.04252303330970942,8120
2016-01-09T18:00:00Z,2016,1,9,19,0,0.04606661941885188,7937
2016-01-09T19:00:00Z,2016,1,9,20,0,0.05669737774627924,7746
2016-01-09T20:00:00Z,2016,1,9,21,0,0.04606661941885188,7246
2016-01-09T21:00:00Z,2016,1,9,22,0,0.05315379163713679,7042
2016-01-09T22:00:00Z,2016,1,9,23,0,0.06024096385542168,6717
2016-01-09T23:00:00Z,2016,1,10,0,0,0.06024096385542168,6595
2016-01-10T00:00:00Z,2016,1,10,1,0,0.04606661941885188,6485
2016-01-10T01:00:00Z,2016,1,10,2,0,0.04961020552799433,6515
2016-01-10T02:00:00Z,2016,1,10,3,0,0.06024096385542168,6412
2016-01-10T03:00:00Z,2016,1,10,4,0,0.0815024805102764,6439
2016-01-10T04:00:00Z,2016,1,10,5,0,0.07087172218284904,6412
2016-01-10T05:00:00Z,2016,1,10,6,0,0.07087172218284904,6599
2016-01-10T06:00:00Z,2016,1,10,7,9.647387969707202e-4,0.09922041105598868,6847
2016-01-10T07:00:00Z,2016,1,10,8,0.00820027977425112,0.14174344436569808,7151
2016-01-10T08:00:00Z,2016,1,10,9,0.04920167864550673,0.13819985825655565,7754
2016-01-10T09:00:00Z,2016,1,10,10,0.10081520428344026,0.1275690999291283,8100
2016-01-10T10:00:00Z,2016,1,10,11,0.13602817037287154,0.15946137491141035,8245
2016-01-10T11:00:00Z,2016,1,10,12,0.12975736819256187,0.1346562721474132,8204
2016-01-10T12:00:00Z,2016,1,10,13,0.08489701413342338,0.14174344436569808,8168
2016-01-10T13:00:00Z,2016,1,10,14,0.03714244368337273,0.1630049610205528,8092
2016-01-10T14:00:00Z,2016,1,10,15,0.012059234962134,0.10630758327427356,8134
2016-01-10T15:00:00Z,2016,1,10,16,0.00144710819545608,0.11693834160170093,8253
2016-01-10T16:00:00Z,2016,1,10,17,0,0.10630758327427356,8293
2016-01-10T17:00:00Z,2016,1,10,18,0,0.08504606661941885,8350
2016-01-10T18:00:00Z,2016,1,10,19,0,0.09213323883770376,8214
2016-01-10T19:00:00Z,2016,1,10,20,0,0.11339475549255848,8053
2016-01-10T20:00:00Z,2016,1,10,21,0,0.13819985825655565,7655
2016-01-10T21:00:00Z,2016,1,10,22,0,0.14528703047484054,7506
2016-01-10T22:00:00Z,2016,1,10,23,0,0.18781006378455,7229
2016-01-10T23:00:00Z,2016,1,11,0,0,0.21261516654854715,6965
2016-01-11T00:00:00Z,2016,1,11,1,0,0.26222537207654145,7100
2016-01-11T01:00:00Z,2016,1,11,2,0,0.28348688873139616,6981
2016-01-11T02:00:00Z,2016,1,11,3,0,0.2551381998582566,6890
2016-01-11T03:00:00Z,2016,1,11,4,0,0.1700921332388377,6978
2016-01-11T04:00:00Z,2016,1,11,5,0,0.07795889440113395,7489
2016-01-11T05:00:00Z,2016,1,11,6,0,0.07087172218284904,8707
2016-01-11T06:00:00Z,2016,1,11,7,9.647387969707202e-4,0.06024096385542168,9283
2016-01-11T07:00:00Z,2016,1,11,8,0.00337658578939752,0.05315379163713679,9384
2016-01-11T08:00:00Z,2016,1,11,9,0.01736529834547296,0.05315379163713679,9492
2016-01-11T09:00:00Z,2016,1,11,10,0.02797742511215088,0.0673281360737066,9508
2016-01-11T10:00:00Z,2016,1,11,11,0.03135401090154841,0.11339475549255848,9568
2016-01-11T11:00:00Z,2016,1,11,12,0.03955429067579952,0.1346562721474132,9750
2016-01-11T12:00:00Z,2016,1,11,13,0.03135401090154841,0.10630758327427356,9687
2016-01-11T13:00:00Z,2016,1,11,14,0.01495345135304616,0.06378454996456415,9624
2016-01-11T14:00:00Z,2016,1,11,15,0.00434132458636824,0.04252303330970942,9656
2016-01-11T15:00:00Z,2016,1,11,16,9.647387969707202e-4,0.09922041105598868,9741
2016-01-11T16:00:00Z,2016,1,11,17,0,0.14174344436569808,9645
2016-01-11T17:00:00Z,2016,1,11,18,0,0.1630049610205528,9442
2016-01-11T18:00:00Z,2016,1,11,19,0,0.148830616583983,9299
2016-01-11T19:00:00Z,2016,1,11,20,0,0.18072289156626503,8921
2016-01-11T20:00:00Z,2016,1,11,21,0,0.16654854712969525,8375
2016-01-11T21:00:00Z,2016,1,11,22,0,0.24096385542168677,7935
2016-01-11T22:00:00Z,2016,1,11,23,0,0.28348688873139616,7469
2016-01-11T23:00:00Z,2016,1,12,0,0,0.38979447200566975,7193
2016-01-12T00:00:00Z,2016,1,12,1,0,0.36853295535081504,7287
2016-01-12T01:00:00Z,2016,1,12,2,0,0.4004252303330971,7123
2016-01-12T02:00:00Z,2016,1,12,3,0,0.45003543586109146,7023
2016-01-12T03:00:00Z,2016,1,12,4,0,0.49610205527994333,7083
2016-01-12T04:00:00Z,2016,1,12,5,0,0.517363571934798,7610
2016-01-12T05:00:00Z,2016,1,12,6,0,0.5031892274982283,8758
2016-01-12T06:00:00Z,2016,1,12,7,9.647387969707202e-4,0.45003543586109146,9247
2016-01-12T07:00:00Z,2016,1,12,8,0.01881240654092904,0.4039688164422396,9302
2016-01-12T08:00:00Z,2016,1,12,9,0.07332014856977474,0.4394046775336641,9437
2016-01-12T09:00:00Z,2016,1,12,10,0.1355458009743862,0.4145995747696669,9395
2016-01-12T10:00:00Z,2016,1,12,11,0.15628768510925667,0.4287739192062367,9417
2016-01-12T11:00:00Z,2016,1,12,12,0.13795764796681298,0.4819277108433735,9589
2016-01-12T12:00:00Z,2016,1,12,13,0.1075683758622353,0.4996456413890858,9470
2016-01-12T13:00:00Z,2016,1,12,14,0.06463749939703825,0.4819277108433735,9440
2016-01-12T14:00:00Z,2016,1,12,15,0.02218899233032656,0.4110559886605245,9441
2016-01-12T15:00:00Z,2016,1,12,16,0.00192947759394144,0.3933380581148122,9546
2016-01-12T16:00:00Z,2016,1,12,17,0.00192947759394144,0.3933380581148122,9627
2016-01-12T17:00:00Z,2016,1,12,18,0,0.3614457831325301,9385
2016-01-12T18:00:00Z,2016,1,12,19,0,0.31537916371367825,9283
2016-01-12T19:00:00Z,2016,1,12,20,0,0.3295535081502481,8984
2016-01-12T20:00:00Z,2016,1,12,21,0,0.31537916371367825,8483
2016-01-12T21:00:00Z,2016,1,12,22,0,0.30120481927710846,7978
2016-01-12T22:00:00Z,2016,1,12,23,0,0.24805102763997167,7529
2016-01-12T23:00:00Z,2016,1,13,0,0,0.27285613040396883,7174
2016-01-13T00:00:00Z,2016,1,13,1,0,0.4004252303330971,7281
2016-01-13T01:00:00Z,2016,1,13,2,0,0.4004252303330971,7149
2016-01-13T02:00:00Z,2016,1,13,3,0,0.3791637136782424,7077
2016-01-13T03:00:00Z,2016,1,13,4,0,0.4145995747696669,7189
2016-01-13T04:00:00Z,2016,1,13,5,0,0.407512402551382,7723
2016-01-13T05:00:00Z,2016,1,13,6,0,0.45003543586109146,8847
2016-01-13T06:00:00Z,2016,1,13,7,9.647387969707202e-4,0.407512402551382,9353
2016-01-13T07:00:00Z,2016,1,13,8,0.02508320872123872,0.4252303330970943,9400
2016-01-13T08:00:00Z,2016,1,13,9,0.09020307751676232,0.4358610914245216,9511
2016-01-13T09:00:00Z,2016,1,13,10,0.1389223867637837,0.6094968107725018,9530
2016-01-13T10:00:00Z,2016,1,13,11,0.15918190150016884,0.6307583274273565,9539
2016-01-13T11:00:00Z,2016,1,13,12,0.1051565288698085,0.6094968107725018,9683
2016-01-13T12:00:00Z,2016,1,13,13,0.06801408518643577,0.6130403968816442,9676
2016-01-13T13:00:00Z,2016,1,13,14,0.05257826443490425,0.5988660524450744,9639
2016-01-13T14:00:00Z,2016,1,13,15,0.01881240654092904,0.6803685329553508,9634
2016-01-13T15:00:00Z,2016,1,13,16,0.00192947759394144,0.6803685329553508,9597
2016-01-13T16:00:00Z,2016,1,13,17,0,0.6839121190644933,9675
2016-01-13T17:00:00Z,2016,1,13,18,0,0.705173635719348,9446
2016-01-13T18:00:00Z,2016,1,13,19,0,0.6378454996456414,9220
2016-01-13T19:00:00Z,2016,1,13,20,0,0.5705173635719348,9019
2016-01-13T20:00:00Z,2016,1,13,21,0,0.517363571934798,8516
2016-01-13T21:00:00Z,2016,1,13,22,0,0.35790219702338766,8014
2016-01-13T22:00:00Z,2016,1,13,23,0,0.24805102763997167,7626
2016-01-13T23:00:00Z,2016,1,14,0,0,0.2763997165131113,7333
2016-01-14T00:00:00Z,2016,1,14,1,0,0.2090715804394047,7454
2016-01-14T01:00:00Z,2016,1,14,2,0,0.19844082211197733,7316
2016-01-14T02:00:00Z,2016,1,14,3,0,0.2303330970942594,7212
2016-01-14T03:00:00Z,2016,1,14,4,0,0.2303330970942594,7309
2016-01-14T04:00:00Z,2016,1,14,5,0,0.19844082211197733,7808
